study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Ttyh1,7.522526813237607,0.20690803949024442,0.2871146410537838,0.7206460761835037,0.4711272973580429,0.8752241581607968,0.9804266527942409
GSE250136,pseudobulk_deseq2,sample_barcode,D030047H15Rik,0.2735248524073164,0.4190526100411626,1.4391269062126237,0.29118530703035145,0.7709095992273526,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Leng8,105.8628912136268,-0.033459822625697556,0.06962238968161721,-0.480589976568014,0.6308079407297,0.9270954855228583,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Leng9,5.544195858909478,-0.08813522443188287,0.28932940905121873,-0.3046189625897334,0.7606563759578453,0.9532485081451482,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Cdc42ep5,56.63858560057834,-0.030382852386845523,0.11589722822039623,-0.2621533996401355,0.7932031789367012,0.9587458010699369,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Rdh13,54.80312414151493,0.036401656035049065,0.09263475726838515,0.3929589401263796,0.6943498079356624,0.940209416695985,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Eps8l1,2.8414590798404245,-0.3426117184368947,0.4325590960336733,-0.7920575976287492,0.42832709272089725,NA,0.9734035200760188
GSE250136,pseudobulk_deseq2,sample_barcode,Ppp1r12c,103.92132490518154,0.023804043948313827,0.07208868124611237,0.3302050132814372,0.7412450590469235,0.9485944980706762,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Tnnt1,8.758160094779063,-0.37069547617333976,0.3258738288349658,-1.1375429487498772,0.25531138090049527,0.7577606440267565,0.8963881645036494
GSE250136,pseudobulk_deseq2,sample_barcode,Tnni3,5.003608221931409,0.1939342948107732,0.31259841034578567,0.6203943730751853,0.53499817610306,0.8975580657423984,0.9925168428837513
GSE250136,pseudobulk_deseq2,sample_barcode,Dnaaf3,7.672772321590477,0.45689229750391236,0.2533512831599835,1.8033944482349393,0.07132628890395551,0.5044349979621362,0.635737201936617
